year,month,privateThousands,goodsThousands,serviceThousands,privatePercent,goodsPercent,servicePercent
2010,May,"107,675.81","17,745.93","89,929.88",+0.14,+0.17,+0.14
2010,June,"107,777.36","17,768.79","90,008.57",+0.09,+0.13,+0.09
2010,July,"107,936.17","17,785.34","90,150.83",+0.15,+0.09,+0.16
2010,August,"108,035.33","17,796.27","90,239.06",+0.09,+0.06,+0.1
2010,September,"108,152.34","17,786.52","90,365.82",+0.11,-0.05,+0.14
2010,October,"108,371.72","17,819.17","90,552.55",+0.2,+0.18,+0.21
2010,November,"108,512.56","17,844.97","90,667.59",+0.13,+0.14,+0.13
2010,December,"108,597.93","17,827.59","90,770.34",+0.08,-0.1,+0.11
2011,January,"108,735.39","17,816.07","90,919.32",+0.13,-0.06,+0.16
2011,February,"108,899.25","17,851.41","91,047.84",+0.15,+0.2,+0.14
2011,March,"109,112.00","17,906.00","91,206.00",+0.2,+0.31,+0.17
2011,April,"109,410.59","17,959.95","91,450.64",+0.27,+0.3,+0.27
2011,May,"109,664.95","18,026.75","91,638.21",+0.23,+0.37,+0.21
2011,June,"109,927.85","18,063.25","91,864.60",+0.24,+0.2,+0.25
2011,July,"110,140.76","18,109.47","92,031.29",+0.19,+0.26,+0.18
2011,August,"110,357.10","18,166.43","92,190.67",+0.2,+0.31,+0.17
2011,September,"110,583.75","18,212.84","92,370.91",+0.21,+0.26,+0.2
2011,October,"110,774.61","18,236.71","92,537.90",+0.17,+0.13,+0.18
2011,November,"110,901.43","18,225.14","92,676.29",+0.11,-0.06,+0.15
2011,December,"111,095.71","18,258.24","92,837.47",+0.18,+0.18,+0.17
2012,January,"111,294.89","18,281.66","93,013.23",+0.18,+0.13,+0.19
2012,February,"111,576.28","18,322.53","93,253.75",+0.25,+0.22,+0.26
2012,March,"111,826.00","18,372.00","93,454.00",+0.22,+0.27,+0.21
2012,April,"111,908.83","18,374.58","93,534.25",+0.07,+0.01,+0.09
2012,May,"112,062.28","18,392.85","93,669.42",+0.14,+0.1,+0.14
2012,June,"112,141.53","18,414.18","93,727.35",+0.07,+0.12,+0.06
2012,July,"112,283.58","18,427.30","93,856.28",+0.13,+0.07,+0.14
2012,August,"112,467.77","18,448.64","94,019.13",+0.16,+0.12,+0.17
2012,September,"112,618.02","18,448.70","94,169.31",+0.13,0,+0.16
2012,October,"112,845.23","18,483.92","94,361.30",+0.2,+0.19,+0.2
2012,November,"113,004.20","18,500.53","94,503.67",+0.14,+0.09,+0.15
2012,December,"113,235.67","18,557.06","94,678.61",+0.2,+0.31,+0.19
2013,January,"113,443.67","18,584.89","94,858.78",+0.18,+0.15,+0.19
2013,February,"113,646.81","18,630.70","95,016.11",+0.18,+0.25,+0.17
2013,March,"113,828.00","18,660.00","95,168.00",+0.16,+0.16,+0.16
2013,April,"113,953.93","18,659.84","95,294.09",+0.11,0,+0.13
2013,May,"114,163.84","18,676.63","95,487.21",+0.18,+0.09,+0.2
2013,June,"114,381.17","18,722.99","95,658.18",+0.19,+0.25,+0.18
2013,July,"114,537.74","18,723.32","95,814.42",+0.14,0,+0.16
2013,August,"114,743.92","18,765.59","95,978.33",+0.18,+0.23,+0.17
2013,September,"114,986.98","18,805.12","96,181.85",+0.21,+0.21,+0.21
2013,October,"115,197.64","18,840.00","96,357.64",+0.18,+0.19,+0.18
2013,November,"115,392.89","18,894.81","96,498.08",+0.17,+0.29,+0.15
2013,December,"115,570.65","18,918.05","96,652.59",+0.15,+0.12,+0.16
2014,January,"115,782.45","18,965.36","96,817.09",+0.18,+0.25,+0.17
2014,February,"115,972.63","19,010.07","96,962.56",+0.16,+0.24,+0.15
2014,March,"116,152.00","19,037.00","97,115.00",+0.15,+0.14,+0.16
2014,April,"116,430.07","19,088.68","97,341.40",+0.24,+0.27,+0.23
2014,May,"116,632.50","19,110.73","97,521.78",+0.17,+0.12,+0.19
2014,June,"116,924.98","19,166.32","97,758.66",+0.25,+0.29,+0.24
2014,July,"117,147.93","19,239.79","97,908.15",+0.19,+0.38,+0.15
2014,August,"117,378.10","19,284.33","98,093.76",+0.2,+0.23,+0.19
2014,September,"117,629.22","19,316.96","98,312.26",+0.21,+0.17,+0.22
2014,October,"117,881.64","19,370.28","98,511.36",+0.21,+0.28,+0.2
2014,November,"118,076.58","19,405.63","98,670.95",+0.17,+0.18,+0.16
2014,December,"118,368.51","19,466.34","98,902.17",+0.25,+0.31,+0.23
2015,January,"118,559.99","19,493.45","99,066.54",+0.16,+0.14,+0.17
2015,February,"118,786.48","19,505.02","99,281.47",+0.19,+0.06,+0.22
2015,March,"118,964.00","19,503.00","99,461.00",+0.15,-0.01,+0.18
2015,April,"119,143.48","19,514.21","99,629.27",+0.15,+0.06,+0.17
2015,May,"119,439.13","19,554.60","99,884.54",+0.25,+0.21,+0.26
2015,June,"119,658.33","19,577.18","100,081.15",+0.18,+0.12,+0.2
2015,July,"119,848.18","19,594.29","100,253.90",+0.16,+0.09,+0.17
2015,August,"120,037.84","19,617.11","100,420.74",+0.16,+0.12,+0.17
2015,September,"120,241.67","19,629.60","100,612.07",+0.17,+0.06,+0.19
2015,October,"120,428.04","19,651.40","100,776.64",+0.15,+0.11,+0.16
2015,November,"120,651.32","19,675.93","100,975.39",+0.19,+0.12,+0.2
2015,December,"120,922.53","19,718.62","101,203.91",+0.22,+0.22,+0.23
2016,January,"121,052.04","19,710.19","101,341.84",+0.11,-0.04,+0.14
2016,February,"121,292.77","19,694.63","101,598.14",+0.2,-0.08,+0.25
2016,March,"121,498.00","19,712.00","101,786.00",+0.17,+0.09,+0.18
2016,April,"121,667.86","19,721.04","101,946.82",+0.14,+0.05,+0.16
2016,May,"121,752.12","19,699.67","102,052.45",+0.07,-0.11,+0.1
2016,June,"122,006.73","19,725.80","102,280.93",+0.21,+0.13,+0.22
2016,July,"122,158.58","19,746.91","102,411.67",+0.12,+0.11,+0.13
2016,August,"122,350.43","19,734.79","102,615.64",+0.16,-0.06,+0.2
2016,September,"122,531.23","19,766.66","102,764.57",+0.15,+0.16,+0.15
2016,October,"122,622.37","19,759.03","102,863.34",+0.07,-0.04,+0.1
2016,November,"122,858.25","19,780.06","103,078.19",+0.19,+0.11,+0.21
2016,December,"122,963.34","19,778.52","103,184.82",+0.09,-0.01,+0.1
2017,January,"123,187.49","19,829.11","103,358.38",+0.18,+0.26,+0.17
2017,February,"123,424.64","19,904.46","103,520.17",+0.19,+0.38,+0.16
2017,March,"123,634.00","19,959.00","103,675.00",+0.17,+0.27,+0.15
2017,April,"123,806.72","19,989.07","103,817.65",+0.14,+0.15,+0.14
2017,May,"123,977.20","20,028.40","103,948.80",+0.14,+0.2,+0.13
2017,June,"124,112.14","20,057.46","104,054.68",+0.11,+0.15,+0.1
2017,July,"124,295.58","20,068.79","104,226.79",+0.15,+0.06,+0.17
2017,August,"124,469.76","20,103.73","104,366.03",+0.14,+0.17,+0.13
2017,September,"124,580.83","20,150.90","104,429.92",+0.09,+0.23,+0.06
2017,October,"124,738.70","20,190.90","104,547.80",+0.13,+0.2,+0.11
2017,November,"124,945.22","20,251.07","104,694.15",+0.17,+0.3,+0.14
2017,December,"125,186.37","20,306.43","104,879.95",+0.19,+0.27,+0.18
2018,January,"125,438.13","20,386.55","105,051.58",+0.2,+0.39,+0.16
2018,February,"125,656.82","20,456.66","105,200.16",+0.17,+0.34,+0.14
2018,March,"125,870.00","20,527.00","105,343.00",+0.17,+0.34,+0.14
2018,April,"126,048.16","20,573.18","105,474.98",+0.14,+0.22,+0.13
2018,May,"126,323.80","20,659.96","105,663.84",+0.22,+0.42,+0.18
2018,June,"126,544.81","20,689.28","105,855.53",+0.17,+0.14,+0.18
2018,July,"126,829.14","20,766.57","106,062.57",+0.22,+0.37,+0.2
2018,August,"126,988.11","20,782.42","106,205.70",+0.13,+0.08,+0.13
2018,September,"127,187.34","20,837.60","106,349.74",+0.16,+0.27,+0.14
2018,October,"127,425.33","20,875.55","106,549.78",+0.19,+0.18,+0.19
2018,November,"127,561.74","20,882.07","106,679.68",+0.11,+0.03,+0.12
2018,December,"127,810.75","20,919.69","106,891.06",+0.2,+0.18,+0.2
2019,January,"128,074.43","21,007.17","107,067.26",+0.21,+0.42,+0.16
2019,February,"128,294.34","21,046.65","107,247.69",+0.17,+0.19,+0.17
2019,March,"128,445.78","21,046.10","107,399.68",+0.12,0,+0.14
2019,April,"128,720.75","21,098.06","107,622.69",+0.21,+0.25,+0.21
